hyperedge_id,node_id,node_role,incidence_weight,coo_index
he35h_0011,hn35h_0095,evidence,0.34,1
he35h_0011,hn35h_0112,counter,0.41,2
he35h_0011,hn35h_0129,residual,0.48,3
he35h_0011,hn35h_0146,mask,0.55,4
he35h_0011,hn35h_0163,ledger,0.62,5
he35h_0011,hn35h_0180,context,0.69,6
he35h_0011,hn35h_0197,macro,0.76,7
he35h_0012,hn35h_0085,driver,0.34,0
he35h_0012,hn35h_0102,evidence,0.41,1
he35h_0012,hn35h_0119,counter,0.48,2
he35h_0012,hn35h_0136,residual,0.55,3
he35h_0012,hn35h_0153,mask,0.62,4
he35h_0012,hn35h_0170,ledger,0.69,5
he35h_0012,hn35h_0187,context,0.76,6
he35h_0012,hn35h_0204,macro,0.83,7
he35h_0013,hn35h_0092,driver,0.41,0
he35h_0013,hn35h_0109,evidence,0.48,1
he35h_0013,hn35h_0126,counter,0.55,2
he35h_0013,hn35h_0143,residual,0.62,3
he35h_0013,hn35h_0160,mask,0.69,4
he35h_0013,hn35h_0177,ledger,0.76,5
he35h_0013,hn35h_0194,context,0.83,6
he35h_0013,hn35h_0211,macro,0.2,7
he35h_0014,hn35h_0099,driver,0.48,0
he35h_0014,hn35h_0116,evidence,0.55,1
he35h_0014,hn35h_0133,counter,0.62,2
he35h_0014,hn35h_0150,residual,0.69,3
he35h_0014,hn35h_0167,mask,0.76,4
he35h_0014,hn35h_0184,ledger,0.83,5
he35h_0014,hn35h_0201,context,0.2,6
he35h_0014,hn35h_0218,macro,0.27,7
he35h_0015,hn35h_0106,driver,0.55,0
he35h_0015,hn35h_0123,evidence,0.62,1
he35h_0015,hn35h_0140,counter,0.69,2
he35h_0015,hn35h_0157,residual,0.76,3
he35h_0015,hn35h_0174,mask,0.83,4
he35h_0015,hn35h_0191,ledger,0.2,5
he35h_0015,hn35h_0208,context,0.27,6
he35h_0015,hn35h_0225,macro,0.34,7
he35h_0016,hn35h_0113,driver,0.62,0
he35h_0016,hn35h_0130,evidence,0.69,1
he35h_0016,hn35h_0147,counter,0.76,2
he35h_0016,hn35h_0164,residual,0.83,3
he35h_0016,hn35h_0181,mask,0.2,4
he35h_0016,hn35h_0198,ledger,0.27,5
he35h_0016,hn35h_0215,context,0.34,6
he35h_0017,hn35h_0120,driver,0.69,0
he35h_0017,hn35h_0137,evidence,0.76,1
he35h_0017,hn35h_0154,counter,0.83,2
he35h_0017,hn35h_0171,residual,0.2,3
he35h_0017,hn35h_0188,mask,0.27,4
he35h_0017,hn35h_0205,ledger,0.34,5
he35h_0017,hn35h_0222,context,0.41,6
he35h_0018,hn35h_0127,driver,0.76,0
he35h_0018,hn35h_0144,evidence,0.83,1
he35h_0018,hn35h_0161,counter,0.2,2
he35h_0018,hn35h_0178,residual,0.27,3
he35h_0018,hn35h_0195,mask,0.34,4
he35h_0018,hn35h_0212,ledger,0.41,5
he35h_0018,hn35h_0229,context,0.48,6
he35h_0019,hn35h_0134,driver,0.83,0
he35h_0019,hn35h_0151,evidence,0.2,1
he35h_0019,hn35h_0168,counter,0.27,2
he35h_0019,hn35h_0185,residual,0.34,3
he35h_0019,hn35h_0202,mask,0.41,4
he35h_0019,hn35h_0219,ledger,0.48,5
he35h_0019,hn35h_0236,context,0.55,6
he35h_0020,hn35h_0141,driver,0.2,0
he35h_0020,hn35h_0158,evidence,0.27,1
he35h_0020,hn35h_0175,counter,0.34,2
he35h_0020,hn35h_0192,residual,0.41,3
he35h_0020,hn35h_0209,mask,0.48,4
he35h_0020,hn35h_0226,ledger,0.55,5
he35h_0020,hn35h_0243,context,0.62,6
he35h_0021,hn35h_0148,driver,0.27,0
he35h_0021,hn35h_0165,evidence,0.34,1
he35h_0021,hn35h_0182,counter,0.41,2
he35h_0021,hn35h_0199,residual,0.48,3
he35h_0021,hn35h_0216,mask,0.55,4
he35h_0021,hn35h_0233,ledger,0.62,5
he35h_0021,hn35h_0250,context,0.69,6
he35h_0022,hn35h_0155,driver,0.34,0
he35h_0022,hn35h_0172,evidence,0.41,1
he35h_0022,hn35h_0189,counter,0.48,2
he35h_0022,hn35h_0206,residual,0.55,3
he35h_0022,hn35h_0223,mask,0.62,4
he35h_0022,hn35h_0240,ledger,0.69,5
he35h_0022,hn35h_0257,context,0.76,6
he35h_0023,hn35h_0162,driver,0.41,0
he35h_0023,hn35h_0179,evidence,0.48,1
he35h_0023,hn35h_0196,counter,0.55,2
he35h_0023,hn35h_0213,residual,0.62,3
he35h_0023,hn35h_0230,mask,0.69,4
he35h_0023,hn35h_0247,ledger,0.76,5
he35h_0023,hn35h_0264,context,0.83,6
he35h_0024,hn35h_0169,driver,0.48,0
he35h_0024,hn35h_0186,evidence,0.55,1
he35h_0024,hn35h_0203,counter,0.62,2
he35h_0024,hn35h_0220,residual,0.69,3
he35h_0024,hn35h_0237,mask,0.76,4
he35h_0024,hn35h_0254,ledger,0.83,5
he35h_0024,hn35h_0271,context,0.2,6
he35h_0025,hn35h_0176,driver,0.55,0
he35h_0025,hn35h_0193,evidence,0.62,1
he35h_0025,hn35h_0210,counter,0.69,2
he35h_0025,hn35h_0227,residual,0.76,3
he35h_0025,hn35h_0244,mask,0.83,4
he35h_0025,hn35h_0261,ledger,0.2,5
he35h_0025,hn35h_0278,context,0.27,6
he35h_0026,hn35h_0183,driver,0.62,0
he35h_0026,hn35h_0200,evidence,0.69,1
he35h_0026,hn35h_0217,counter,0.76,2
he35h_0026,hn35h_0234,residual,0.83,3
he35h_0026,hn35h_0251,mask,0.2,4
he35h_0026,hn35h_0268,ledger,0.27,5
he35h_0026,hn35h_0285,context,0.34,6
he35h_0027,hn35h_0190,driver,0.69,0
he35h_0027,hn35h_0207,evidence,0.76,1
he35h_0027,hn35h_0224,counter,0.83,2
he35h_0027,hn35h_0241,residual,0.2,3
he35h_0027,hn35h_0258,mask,0.27,4
he35h_0027,hn35h_0275,ledger,0.34,5
he35h_0027,hn35h_0292,context,0.41,6
he35h_0028,hn35h_0197,driver,0.76,0
he35h_0028,hn35h_0214,evidence,0.83,1
he35h_0028,hn35h_0231,counter,0.2,2
he35h_0028,hn35h_0248,residual,0.27,3
he35h_0028,hn35h_0265,mask,0.34,4
he35h_0028,hn35h_0282,ledger,0.41,5
he35h_0028,hn35h_0299,context,0.48,6
he35h_0029,hn35h_0204,driver,0.83,0
he35h_0029,hn35h_0221,evidence,0.2,1
he35h_0029,hn35h_0238,counter,0.27,2
he35h_0029,hn35h_0255,residual,0.34,3
he35h_0029,hn35h_0272,mask,0.41,4
he35h_0029,hn35h_0289,ledger,0.48,5
he35h_0029,hn35h_0306,context,0.55,6
he35h_0030,hn35h_0211,driver,0.2,0
he35h_0030,hn35h_0228,evidence,0.27,1
he35h_0030,hn35h_0245,counter,0.34,2
he35h_0030,hn35h_0262,residual,0.41,3
he35h_0030,hn35h_0279,mask,0.48,4
he35h_0030,hn35h_0296,ledger,0.55,5
he35h_0030,hn35h_0313,context,0.62,6
he35h_0031,hn35h_0218,driver,0.27,0
he35h_0031,hn35h_0235,evidence,0.34,1
he35h_0031,hn35h_0252,counter,0.41,2
he35h_0031,hn35h_0269,residual,0.48,3
he35h_0031,hn35h_0286,mask,0.55,4
he35h_0031,hn35h_0303,ledger,0.62,5
he35h_0031,hn35h_0320,context,0.69,6
he35h_0032,hn35h_0225,driver,0.34,0
he35h_0032,hn35h_0242,evidence,0.41,1
he35h_0032,hn35h_0259,counter,0.48,2
he35h_0032,hn35h_0276,residual,0.55,3
he35h_0032,hn35h_0293,mask,0.62,4
he35h_0032,hn35h_0310,ledger,0.69,5
he35h_0032,hn35h_0327,context,0.76,6
he35h_0033,hn35h_0232,driver,0.41,0
he35h_0033,hn35h_0249,evidence,0.48,1
he35h_0033,hn35h_0266,counter,0.55,2
he35h_0033,hn35h_0283,residual,0.62,3
he35h_0033,hn35h_0300,mask,0.69,4
he35h_0033,hn35h_0317,ledger,0.76,5
he35h_0033,hn35h_0334,context,0.83,6
he35h_0034,hn35h_0239,driver,0.48,0
he35h_0034,hn35h_0256,evidence,0.55,1
he35h_0034,hn35h_0273,counter,0.62,2
he35h_0034,hn35h_0290,residual,0.69,3
he35h_0034,hn35h_0307,mask,0.76,4
he35h_0034,hn35h_0324,ledger,0.83,5
he35h_0034,hn35h_0341,context,0.2,6
he35h_0035,hn35h_0246,driver,0.55,0
he35h_0035,hn35h_0263,evidence,0.62,1
he35h_0035,hn35h_0280,counter,0.69,2
he35h_0035,hn35h_0297,residual,0.76,3
he35h_0035,hn35h_0314,mask,0.83,4
he35h_0035,hn35h_0331,ledger,0.2,5
he35h_0035,hn35h_0348,context,0.27,6
he35h_0036,hn35h_0253,driver,0.62,0
he35h_0036,hn35h_0270,evidence,0.69,1
he35h_0036,hn35h_0287,counter,0.76,2
he35h_0036,hn35h_0304,residual,0.83,3
he35h_0036,hn35h_0321,mask,0.2,4
he35h_0036,hn35h_0338,ledger,0.27,5
he35h_0036,hn35h_0355,context,0.34,6
he35h_0037,hn35h_0260,driver,0.69,0
he35h_0037,hn35h_0277,evidence,0.76,1
he35h_0037,hn35h_0294,counter,0.83,2
he35h_0037,hn35h_0311,residual,0.2,3
he35h_0037,hn35h_0328,mask,0.27,4
he35h_0037,hn35h_0345,ledger,0.34,5
he35h_0037,hn35h_0362,context,0.41,6
he35h_0038,hn35h_0267,driver,0.76,0
he35h_0038,hn35h_0284,evidence,0.83,1
he35h_0038,hn35h_0301,counter,0.2,2
he35h_0038,hn35h_0318,residual,0.27,3
he35h_0038,hn35h_0335,mask,0.34,4
he35h_0038,hn35h_0352,ledger,0.41,5
he35h_0038,hn35h_0369,context,0.48,6
he35h_0039,hn35h_0274,driver,0.83,0
he35h_0039,hn35h_0291,evidence,0.2,1
he35h_0039,hn35h_0308,counter,0.27,2
he35h_0039,hn35h_0325,residual,0.34,3
he35h_0039,hn35h_0342,mask,0.41,4
he35h_0039,hn35h_0359,ledger,0.48,5
he35h_0039,hn35h_0376,context,0.55,6
he35h_0040,hn35h_0281,driver,0.2,0
he35h_0040,hn35h_0298,evidence,0.27,1
he35h_0040,hn35h_0315,counter,0.34,2
he35h_0040,hn35h_0332,residual,0.41,3
he35h_0040,hn35h_0349,mask,0.48,4
he35h_0040,hn35h_0366,ledger,0.55,5
he35h_0040,hn35h_0383,context,0.62,6
he35h_0041,hn35h_0288,driver,0.27,0
he35h_0041,hn35h_0305,evidence,0.34,1
he35h_0041,hn35h_0322,counter,0.41,2
he35h_0041,hn35h_0339,residual,0.48,3
he35h_0041,hn35h_0356,mask,0.55,4
he35h_0041,hn35h_0373,ledger,0.62,5
he35h_0041,hn35h_0390,context,0.69,6
he35h_0042,hn35h_0295,driver,0.34,0
he35h_0042,hn35h_0312,evidence,0.41,1
he35h_0042,hn35h_0329,counter,0.48,2
he35h_0042,hn35h_0346,residual,0.55,3
he35h_0042,hn35h_0363,mask,0.62,4
he35h_0042,hn35h_0380,ledger,0.69,5
he35h_0042,hn35h_0397,context,0.76,6
he35h_0043,hn35h_0302,driver,0.41,0
he35h_0043,hn35h_0319,evidence,0.48,1
he35h_0043,hn35h_0336,counter,0.55,2
he35h_0043,hn35h_0353,residual,0.62,3
he35h_0043,hn35h_0370,mask,0.69,4
he35h_0043,hn35h_0387,ledger,0.76,5
he35h_0043,hn35h_0404,context,0.83,6
he35h_0044,hn35h_0309,driver,0.48,0
he35h_0044,hn35h_0326,evidence,0.55,1
he35h_0044,hn35h_0343,counter,0.62,2
he35h_0044,hn35h_0360,residual,0.69,3
he35h_0044,hn35h_0377,mask,0.76,4
he35h_0044,hn35h_0394,ledger,0.83,5
he35h_0044,hn35h_0411,context,0.2,6
he35h_0045,hn35h_0316,driver,0.55,0
he35h_0045,hn35h_0333,evidence,0.62,1
he35h_0045,hn35h_0350,counter,0.69,2
he35h_0045,hn35h_0367,residual,0.76,3
he35h_0045,hn35h_0384,mask,0.83,4
he35h_0045,hn35h_0401,ledger,0.2,5
he35h_0045,hn35h_0418,context,0.27,6
he35h_0046,hn35h_0323,driver,0.62,0
he35h_0046,hn35h_0340,evidence,0.69,1
he35h_0046,hn35h_0357,counter,0.76,2
he35h_0046,hn35h_0374,residual,0.83,3
he35h_0046,hn35h_0391,mask,0.2,4
he35h_0046,hn35h_0408,ledger,0.27,5
he35h_0046,hn35h_0425,context,0.34,6
he35h_0047,hn35h_0330,driver,0.69,0
he35h_0047,hn35h_0347,evidence,0.76,1
he35h_0047,hn35h_0364,counter,0.83,2
he35h_0047,hn35h_0381,residual,0.2,3
he35h_0047,hn35h_0398,mask,0.27,4
he35h_0047,hn35h_0415,ledger,0.34,5
he35h_0047,hn35h_0432,context,0.41,6
he35h_0048,hn35h_0337,driver,0.76,0
he35h_0048,hn35h_0354,evidence,0.83,1
he35h_0048,hn35h_0371,counter,0.2,2
he35h_0048,hn35h_0388,residual,0.27,3
he35h_0048,hn35h_0405,mask,0.34,4
he35h_0048,hn35h_0422,ledger,0.41,5
he35h_0048,hn35h_0439,context,0.48,6
he35h_0049,hn35h_0344,driver,0.83,0
he35h_0049,hn35h_0361,evidence,0.2,1
he35h_0049,hn35h_0378,counter,0.27,2
he35h_0049,hn35h_0395,residual,0.34,3
he35h_0049,hn35h_0412,mask,0.41,4
he35h_0049,hn35h_0429,ledger,0.48,5
he35h_0049,hn35h_0446,context,0.55,6
he35h_0050,hn35h_0351,driver,0.2,0
he35h_0050,hn35h_0368,evidence,0.27,1
he35h_0050,hn35h_0385,counter,0.34,2
he35h_0050,hn35h_0402,residual,0.41,3
he35h_0050,hn35h_0419,mask,0.48,4
he35h_0050,hn35h_0436,ledger,0.55,5
he35h_0050,hn35h_0453,context,0.62,6
he35h_0051,hn35h_0358,driver,0.27,0
he35h_0051,hn35h_0375,evidence,0.34,1
he35h_0051,hn35h_0392,counter,0.41,2
he35h_0051,hn35h_0409,residual,0.48,3
he35h_0051,hn35h_0426,mask,0.55,4
he35h_0051,hn35h_0443,ledger,0.62,5
he35h_0051,hn35h_0460,context,0.69,6
he35h_0052,hn35h_0365,driver,0.34,0
he35h_0052,hn35h_0382,evidence,0.41,1
he35h_0052,hn35h_0399,counter,0.48,2
he35h_0052,hn35h_0416,residual,0.55,3
he35h_0052,hn35h_0433,mask,0.62,4
he35h_0052,hn35h_0450,ledger,0.69,5
he35h_0052,hn35h_0467,context,0.76,6
he35h_0053,hn35h_0372,driver,0.41,0
he35h_0053,hn35h_0389,evidence,0.48,1
he35h_0053,hn35h_0406,counter,0.55,2
he35h_0053,hn35h_0423,residual,0.62,3
he35h_0053,hn35h_0440,mask,0.69,4
he35h_0053,hn35h_0457,ledger,0.76,5
he35h_0053,hn35h_0474,context,0.83,6
he35h_0054,hn35h_0379,driver,0.48,0
he35h_0054,hn35h_0396,evidence,0.55,1
he35h_0054,hn35h_0413,counter,0.62,2
he35h_0054,hn35h_0430,residual,0.69,3
he35h_0054,hn35h_0447,mask,0.76,4
he35h_0054,hn35h_0464,ledger,0.83,5
he35h_0054,hn35h_0481,context,0.2,6
he35h_0055,hn35h_0386,driver,0.55,0
he35h_0055,hn35h_0403,evidence,0.62,1
he35h_0055,hn35h_0420,counter,0.69,2
he35h_0055,hn35h_0437,residual,0.76,3
he35h_0055,hn35h_0454,mask,0.83,4
he35h_0055,hn35h_0471,ledger,0.2,5
he35h_0055,hn35h_0488,context,0.27,6
he35h_0056,hn35h_0393,driver,0.62,0
he35h_0056,hn35h_0410,evidence,0.69,1
he35h_0056,hn35h_0427,counter,0.76,2
he35h_0056,hn35h_0444,residual,0.83,3
he35h_0056,hn35h_0461,mask,0.2,4
he35h_0056,hn35h_0478,ledger,0.27,5
he35h_0056,hn35h_0495,context,0.34,6
he35h_0057,hn35h_0400,driver,0.69,0
he35h_0057,hn35h_0417,evidence,0.76,1
he35h_0057,hn35h_0434,counter,0.83,2
he35h_0057,hn35h_0451,residual,0.2,3
he35h_0057,hn35h_0468,mask,0.27,4
he35h_0057,hn35h_0485,ledger,0.34,5
he35h_0057,hn35h_0502,context,0.41,6
he35h_0058,hn35h_0407,driver,0.76,0
he35h_0058,hn35h_0424,evidence,0.83,1
he35h_0058,hn35h_0441,counter,0.2,2
he35h_0058,hn35h_0458,residual,0.27,3
he35h_0058,hn35h_0475,mask,0.34,4
he35h_0058,hn35h_0492,ledger,0.41,5
he35h_0058,hn35h_0509,context,0.48,6
he35h_0059,hn35h_0414,driver,0.83,0
he35h_0059,hn35h_0431,evidence,0.2,1
he35h_0059,hn35h_0448,counter,0.27,2
he35h_0059,hn35h_0465,residual,0.34,3
he35h_0059,hn35h_0482,mask,0.41,4
he35h_0059,hn35h_0499,ledger,0.48,5
he35h_0059,hn35h_0516,context,0.55,6
he35h_0060,hn35h_0421,driver,0.2,0
he35h_0060,hn35h_0438,evidence,0.27,1
he35h_0060,hn35h_0455,counter,0.34,2
he35h_0060,hn35h_0472,residual,0.41,3
he35h_0060,hn35h_0489,mask,0.48,4
he35h_0060,hn35h_0506,ledger,0.55,5
he35h_0060,hn35h_0523,context,0.62,6
he35h_0061,hn35h_0428,driver,0.27,0
he35h_0061,hn35h_0445,evidence,0.34,1
he35h_0061,hn35h_0462,counter,0.41,2
he35h_0061,hn35h_0479,residual,0.48,3
he35h_0061,hn35h_0496,mask,0.55,4
he35h_0061,hn35h_0513,ledger,0.62,5
he35h_0061,hn35h_0530,context,0.69,6
he35h_0062,hn35h_0435,driver,0.34,0
he35h_0062,hn35h_0452,evidence,0.41,1
he35h_0062,hn35h_0469,counter,0.48,2
he35h_0062,hn35h_0486,residual,0.55,3
he35h_0062,hn35h_0503,mask,0.62,4
he35h_0062,hn35h_0520,ledger,0.69,5
he35h_0062,hn35h_0537,context,0.76,6
he35h_0063,hn35h_0442,driver,0.41,0
he35h_0063,hn35h_0459,evidence,0.48,1
he35h_0063,hn35h_0476,counter,0.55,2
he35h_0063,hn35h_0493,residual,0.62,3
he35h_0063,hn35h_0510,mask,0.69,4
he35h_0063,hn35h_0527,ledger,0.76,5
he35h_0063,hn35h_0544,context,0.83,6
he35h_0064,hn35h_0449,driver,0.48,0
he35h_0064,hn35h_0466,evidence,0.55,1
he35h_0064,hn35h_0483,counter,0.62,2
he35h_0064,hn35h_0500,residual,0.69,3
he35h_0064,hn35h_0517,mask,0.76,4
he35h_0064,hn35h_0534,ledger,0.83,5
he35h_0064,hn35h_0551,context,0.2,6
he35h_0065,hn35h_0456,driver,0.55,0
he35h_0065,hn35h_0473,evidence,0.62,1
he35h_0065,hn35h_0490,counter,0.69,2
he35h_0065,hn35h_0507,residual,0.76,3
he35h_0065,hn35h_0524,mask,0.83,4
he35h_0065,hn35h_0541,ledger,0.2,5
he35h_0065,hn35h_0558,context,0.27,6
he35h_0066,hn35h_0463,driver,0.62,0
he35h_0066,hn35h_0480,evidence,0.69,1
he35h_0066,hn35h_0497,counter,0.76,2
he35h_0066,hn35h_0514,residual,0.83,3
he35h_0066,hn35h_0531,mask,0.2,4
he35h_0066,hn35h_0548,ledger,0.27,5
he35h_0066,hn35h_0565,context,0.34,6
he35h_0067,hn35h_0470,driver,0.69,0
he35h_0067,hn35h_0487,evidence,0.76,1
he35h_0067,hn35h_0504,counter,0.83,2
he35h_0067,hn35h_0521,residual,0.2,3
he35h_0067,hn35h_0538,mask,0.27,4
he35h_0067,hn35h_0555,ledger,0.34,5
he35h_0067,hn35h_0572,context,0.41,6
he35h_0068,hn35h_0477,driver,0.76,0
he35h_0068,hn35h_0494,evidence,0.83,1
he35h_0068,hn35h_0511,counter,0.2,2
he35h_0068,hn35h_0528,residual,0.27,3
he35h_0068,hn35h_0545,mask,0.34,4
he35h_0068,hn35h_0562,ledger,0.41,5
he35h_0068,hn35h_0579,context,0.48,6
he35h_0069,hn35h_0484,driver,0.83,0
he35h_0069,hn35h_0501,evidence,0.2,1
he35h_0069,hn35h_0518,counter,0.27,2
he35h_0069,hn35h_0535,residual,0.34,3
he35h_0069,hn35h_0552,mask,0.41,4
he35h_0069,hn35h_0569,ledger,0.48,5
he35h_0069,hn35h_0586,context,0.55,6
he35h_0070,hn35h_0491,driver,0.2,0
he35h_0070,hn35h_0508,evidence,0.27,1
he35h_0070,hn35h_0525,counter,0.34,2
he35h_0070,hn35h_0542,residual,0.41,3
he35h_0070,hn35h_0559,mask,0.48,4
he35h_0070,hn35h_0576,ledger,0.55,5
he35h_0070,hn35h_0593,context,0.62,6
he35h_0071,hn35h_0498,driver,0.27,0
he35h_0071,hn35h_0515,evidence,0.34,1
he35h_0071,hn35h_0532,counter,0.41,2
he35h_0071,hn35h_0549,residual,0.48,3
he35h_0071,hn35h_0566,mask,0.55,4
he35h_0071,hn35h_0583,ledger,0.62,5
he35h_0071,hn35h_0600,context,0.69,6
he35h_0072,hn35h_0505,driver,0.34,0
he35h_0072,hn35h_0522,evidence,0.41,1
he35h_0072,hn35h_0539,counter,0.48,2
he35h_0072,hn35h_0556,residual,0.55,3
he35h_0072,hn35h_0573,mask,0.62,4
he35h_0072,hn35h_0590,ledger,0.69,5
he35h_0072,hn35h_0607,context,0.76,6
he35h_0073,hn35h_0512,driver,0.41,0
he35h_0073,hn35h_0529,evidence,0.48,1
he35h_0073,hn35h_0546,counter,0.55,2
he35h_0073,hn35h_0563,residual,0.62,3
he35h_0073,hn35h_0580,mask,0.69,4
he35h_0073,hn35h_0597,ledger,0.76,5
he35h_0073,hn35h_0614,context,0.83,6
he35h_0074,hn35h_0519,driver,0.48,0
he35h_0074,hn35h_0536,evidence,0.55,1
he35h_0074,hn35h_0553,counter,0.62,2
he35h_0074,hn35h_0570,residual,0.69,3
he35h_0074,hn35h_0587,mask,0.76,4
he35h_0074,hn35h_0604,ledger,0.83,5
he35h_0074,hn35h_0621,context,0.2,6
he35h_0075,hn35h_0526,driver,0.55,0
he35h_0075,hn35h_0543,evidence,0.62,1
he35h_0075,hn35h_0560,counter,0.69,2
he35h_0075,hn35h_0577,residual,0.76,3
he35h_0075,hn35h_0594,mask,0.83,4
he35h_0075,hn35h_0611,ledger,0.2,5
he35h_0075,hn35h_0628,context,0.27,6
he35h_0076,hn35h_0533,driver,0.62,0
he35h_0076,hn35h_0550,evidence,0.69,1
he35h_0076,hn35h_0567,counter,0.76,2
he35h_0076,hn35h_0584,residual,0.83,3
he35h_0076,hn35h_0601,mask,0.2,4
he35h_0076,hn35h_0618,ledger,0.27,5
he35h_0076,hn35h_0635,context,0.34,6
he35h_0077,hn35h_0540,driver,0.69,0
he35h_0077,hn35h_0557,evidence,0.76,1
he35h_0077,hn35h_0574,counter,0.83,2
he35h_0077,hn35h_0591,residual,0.2,3
he35h_0077,hn35h_0608,mask,0.27,4
he35h_0077,hn35h_0625,ledger,0.34,5
he35h_0077,hn35h_0642,context,0.41,6
he35h_0078,hn35h_0547,driver,0.76,0
he35h_0078,hn35h_0564,evidence,0.83,1
he35h_0078,hn35h_0581,counter,0.2,2
he35h_0078,hn35h_0598,residual,0.27,3
he35h_0078,hn35h_0615,mask,0.34,4
he35h_0078,hn35h_0632,ledger,0.41,5
he35h_0078,hn35h_0649,context,0.48,6
he35h_0079,hn35h_0554,driver,0.83,0
he35h_0079,hn35h_0571,evidence,0.2,1
he35h_0079,hn35h_0588,counter,0.27,2
he35h_0079,hn35h_0605,residual,0.34,3
he35h_0079,hn35h_0622,mask,0.41,4
he35h_0079,hn35h_0639,ledger,0.48,5
he35h_0079,hn35h_0656,context,0.55,6
he35h_0080,hn35h_0561,driver,0.2,0
he35h_0080,hn35h_0578,evidence,0.27,1
he35h_0080,hn35h_0595,counter,0.34,2
he35h_0080,hn35h_0612,residual,0.41,3
he35h_0080,hn35h_0629,mask,0.48,4
he35h_0080,hn35h_0646,ledger,0.55,5
he35h_0080,hn35h_0663,context,0.62,6
he35h_0081,hn35h_0568,driver,0.27,0
he35h_0081,hn35h_0585,evidence,0.34,1
